account,date,compound,positive,negative,neutral,text
@BBC,Wed Jun 06 18:07:32 +0000 2018,0.7035,0.245,0.0,0.755,@BBC And that's more important than news that is impartial. Wondered why the money you command is used so effectively.
@BBC,Wed Jun 06 18:07:29 +0000 2018,0.6705,0.224,0.0,0.776,"RT @simonmaginn: Hi @BBC.
Five solid gleeful weeks of Labour anti-Semitism stories.
One short bulletin about Tory Islamophobia.
Why do Jews…"
@BBC,Wed Jun 06 18:07:19 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 18:07:04 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:06:50 +0000 2018,0.6705,0.224,0.0,0.776,"RT @simonmaginn: Hi @BBC.
Five solid gleeful weeks of Labour anti-Semitism stories.
One short bulletin about Tory Islamophobia.
Why do Jews…"
@BBC,Wed Jun 06 18:06:34 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:06:30 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:06:26 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 18:06:25 +0000 2018,0.0,0.0,0.0,1.0,"https://t.co/SXzK1H4MH9

@DerSPIEGEL @BILD @guardian @bbc @lesoir 
When Spanish minister, Ciudadanos and PP said in… https://t.co/RarHrvNz22"
@BBC,Wed Jun 06 18:06:07 +0000 2018,0.0,0.0,0.0,1.0,"RT @ALivingstone45: For years, Arundhati Roy has been the Left's prime mouthpiece in the West for maligning the image of Hindus and India a…"
@BBC,Wed Jun 06 18:06:04 +0000 2018,0.0,0.0,0.0,1.0,En nóg een mooie miniserie met goede cast bij @BBC  “Ordeal by innocence” ❤️Agatha Christie https://t.co/XNOjDzyQij
@BBC,Wed Jun 06 18:05:54 +0000 2018,0.0,0.0,0.0,1.0,@alison98899 @thismorning @BBC @DailyMailUK @russellcrowe Today xx
@BBC,Wed Jun 06 18:05:50 +0000 2018,-0.2732,0.054,0.108,0.837,"RT @jaybird2414: @narendramodi It's dosent matter BJP or Congress
Law , police , judiciary is all #GenderBiasedLaws towards women..

Y no c…"
@BBC,Wed Jun 06 18:05:29 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 18:05:06 +0000 2018,0.0,0.0,0.0,1.0,@BBC https://t.co/l2f4jJOpsB
@BBC,Wed Jun 06 18:04:44 +0000 2018,0.1779,0.144,0.109,0.746,RT @BBC: No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M
@BBC,Wed Jun 06 18:04:33 +0000 2018,-0.0772,0.0,0.091,0.909,"RT @Misandry_Kills: #ChildTrafficking racket exposed in #WestBengal (wid Two Mastermind #AblaNari)

#JuhiChoudhury

#ChandanaChakraborty

@…"
@BBC,Wed Jun 06 18:04:31 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:04:25 +0000 2018,-0.7684,0.0,0.31,0.69,"RT @jonandrew10: Ermmm.... @BBCNews @BBC , why did you repost this ridiculously insensitive and offensive tweet in your lead article about…"
@BBC,Wed Jun 06 18:04:15 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 18:04:06 +0000 2018,0.0,0.0,0.0,1.0,"RT @Film_London: In a joint collaboration with @WFTV_UK, @BBC, @Channel4 and @ITV have come together to fund a bursary in memory of Pat Lle…"
@BBC,Wed Jun 06 18:04:00 +0000 2018,0.6705,0.224,0.0,0.776,"RT @simonmaginn: Hi @BBC.
Five solid gleeful weeks of Labour anti-Semitism stories.
One short bulletin about Tory Islamophobia.
Why do Jews…"
@BBC,Wed Jun 06 18:03:49 +0000 2018,-0.5719,0.0,0.198,0.802,"#DisgustingBBC reported about the #Israel-#Argentina match cancellation, but not a word about the threats against t… https://t.co/qWjmSVBRMY"
@BBC,Wed Jun 06 18:03:25 +0000 2018,0.0,0.0,0.0,1.0,RT @Arvind_C: @Misandry_Kills @narendramodi @nitin_gadkari @Manekagandhibjp @MinistryWCD @DailyMailUK @SkyNewsAust @USATODAY @vaastavngo @t…
@BBC,Wed Jun 06 18:03:20 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv"
@BBC,Wed Jun 06 18:03:09 +0000 2018,0.8126,0.375,0.0,0.625,"@aroybot after speaking this, still you are sleeping peacefully and feeling at peace speaks a lot about… https://t.co/1DcQ9A4HjG"
@BBC,Wed Jun 06 18:03:07 +0000 2018,0.1779,0.144,0.109,0.746,RT @BBC: No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M
@BBC,Wed Jun 06 18:02:23 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 18:02:18 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:02:17 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:02:16 +0000 2018,0.0,0.0,0.0,1.0,"RT @BBC: This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa"
@BBC,Wed Jun 06 18:02:15 +0000 2018,0.0,0.0,0.0,1.0,@denilson_kings @shacslaw @KingAbsolute_ @CNN @CNNAfrica @cnnbrk @BBC @BBCWorld @BBCBreaking @FoxNews… https://t.co/4BXycSiTcl
@BBC,Wed Jun 06 18:01:59 +0000 2018,0.3818,0.11,0.0,0.89,"RT @WilliamPMack: Dear @BBC  

How have you managed to run 224 articles on alleged antisemitism in Labour, yet only 4 articles on islamopho…"
@BBC,Wed Jun 06 18:01:57 +0000 2018,0.0772,0.064,0.0,0.936,"@DavidBflower What we want are windowless planes feeding @BBC's world cup, esp virtual reality where we can click o… https://t.co/5k6l0FIOUK"
@BBC,Wed Jun 06 18:01:30 +0000 2018,0.0,0.0,0.0,1.0,RT @4Misused: #Time2Change @narendramodi @Manekagandhibjp @__mynf @NThadur @498anlr @mehratweets @ShadesOfKnife @Gameof498A @INCIndia @AamA…
@BBC,Wed Jun 06 18:01:30 +0000 2018,0.0,0.0,0.0,1.0,"Do you have a budding dancer in the family? 

The @BBC are looking for young dancers to take part in their competit… https://t.co/syS5odj0bQ"
@BBC,Wed Jun 06 18:01:11 +0000 2018,0.8796,0.326,0.0,0.674,What is the best food to eat before an exam?  What food will help me to concentrate? What should I eat for a good n… https://t.co/PSODiB0DR7
